epoch,seed,core_type,use_fw,use_ln,S,lambda,eta,T_bind,duplicate,delta_wait,train_loss,train_acc,valid_loss,valid_acc,specA,specA_val,alpha_train,alpha_val
1,0,tanh,1,1,1,0.95,0.3,12,3,2,0.9803102307513356,0.2312736704852432,0.7262046616468578,0.5097991565745323,71.77949734430314,6.685575553894043,0.26487690364931316,0.2748259270467928
2,0,tanh,1,1,1,0.95,0.3,12,3,2,0.569677117744647,0.6498011607732623,0.4418771530613303,0.7494596033245325,5.719284263181686,5.496518401384353,0.21843137056231499,0.18139654049277307
3,0,tanh,1,1,1,0.95,0.3,12,3,2,0.4046793847968802,0.7855466907761991,0.3711892862482928,0.8221038513965905,5.667071214151383,5.729053170442581,0.16406789984447617,0.15008174747867245
4,0,tanh,1,1,1,0.95,0.3,12,3,2,0.3584892087581102,0.8158237101145088,0.316034193913918,0.8375159181952476,5.941595316267014,5.78876867556572,0.14078585207079136,0.12916200213560033
5,0,tanh,1,1,1,0.95,0.3,12,3,2,0.345992498460575,0.8267283244878054,0.3838929266585037,0.8282586019383743,6.133666496515274,5.9411138501167295,0.12329249972062453,0.11249184175900051
6,0,tanh,1,1,1,0.95,0.3,12,3,2,0.332975667077722,0.8329659705970436,0.299089713383466,0.8419797288253903,6.438444938516617,6.853115346670151,0.11442092808059283,0.11347679133926118
7,0,tanh,1,1,1,0.95,0.3,12,3,2,0.32083037883155047,0.8378091474585235,0.3112843862739392,0.8493415681868791,6.704029307842255,6.398549442768097,0.11138873771471636,0.10689509172311851
8,0,tanh,1,1,1,0.95,0.3,12,3,2,0.31279291231138634,0.8431886492939666,0.30942746639158575,0.840147192068398,7.046729914665222,7.299124587774276,0.10961552484801838,0.11040553026752813
9,0,tanh,1,1,1,0.95,0.3,12,3,2,0.30533398910649123,0.8457058502152562,0.29736475507495924,0.8482666120678186,7.29011149520874,7.604156138420105,0.10842785009486333,0.10913198556644577
10,0,tanh,1,1,1,0.95,0.3,12,3,2,0.3043449956651777,0.843929183389619,0.28586785645550117,0.849803719304502,7.529703809261322,7.539261194229126,0.10828295301156383,0.11046526232361793
11,0,tanh,1,1,1,0.95,0.3,12,3,2,0.3030662123877788,0.8448917109340429,0.297394998899661,0.8428040569648146,7.751691587543488,7.778520209312439,0.10824001912219185,0.11093065274187497
12,0,tanh,1,1,1,0.95,0.3,12,3,2,0.2992950034094742,0.8464683984156698,0.273853010736173,0.8599928767383098,7.912894905757904,8.032255808115005,0.11001283672792572,0.11023791358726365
13,0,tanh,1,1,1,0.95,0.3,12,3,2,0.3006341939188074,0.8461341634720564,0.2958180770166218,0.8483478261008859,8.04293239736557,7.8248982198238375,0.110761450152312,0.1098265398655619
14,0,tanh,1,1,1,0.95,0.3,12,3,2,0.29878599595811683,0.8455345725577325,0.2893770625065081,0.8529094153791666,8.11137360868454,8.28651041173935,0.11211977450932777,0.11342144860965865
15,0,tanh,1,1,1,0.95,0.3,12,3,2,0.29310170492730103,0.8489413213836029,0.32329883451899516,0.8285467556267977,8.12900045042038,8.500646905183793,0.11346541701384953,0.11716169846696513
16,0,tanh,1,1,1,0.95,0.3,12,3,2,0.2996628936290741,0.8450790655039251,0.32448170430865136,0.829075861029327,8.263096979236602,8.34182036447525,0.11413609823414259,0.1155148815044335
