epoch,seed,use_fw,use_ln,S,lambda,eta,T_bind,delta_wait,d_g,d_h,beta,train_loss,train_acc,valid_loss,valid_acc,valid_acc_se,valid_acc_lo,valid_acc_hi,specA,froA,addAh_norm,logit_margin,alpha_dyn_train,alpha_dyn_valid
1,0,1,1,1,0.85,0.3,5,0,100,50,1.0,2.3179908248901366,0.098078125,2.306336853027344,0.10125,0.0031700418305763414,0.09503671801207038,0.10746328198792963,80.34810282382965,0.0,0.0,0.0,0.0,0.0
2,0,1,1,1,0.85,0.3,5,0,100,50,1.0,2.2997154983520507,0.112459375,2.070653755187988,0.279359375,0.003339092614981711,0.27281475347463585,0.2859039965253642,19.974442415185273,0.0,0.0,0.0,0.0,0.0
3,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.801660016822815,0.328775,1.7496305475234986,0.34396875,0.0035337890739726404,0.3370425234150136,0.35089497658498636,8.7702296910882,0.0,0.0,0.0,0.0,0.0
4,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.700904615688324,0.34073125,1.6828695011138917,0.338875,0.0034273780554773324,0.33215733901126443,0.34559266098873553,7.916979904294014,0.0,0.0,0.0,0.0,0.0
5,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.6385893836975098,0.345965625,1.595581051826477,0.347734375,0.0036347372008942364,0.34061029008624727,0.3548584599137527,7.887787502765655,0.0,0.0,0.0,0.0,0.0
6,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.6068685048103333,0.341596875,1.6153302340507507,0.339734375,0.003535588329539042,0.3328046218741035,0.3466641281258965,7.95276800634861,0.0,0.0,0.0,0.0,0.0
7,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5862998112678528,0.34285625,1.6295751011371613,0.3363125,0.0035734092639255243,0.329308617842706,0.34331638215729404,7.70446450728178,0.0,0.0,0.0,0.0,0.0
8,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5766372485160827,0.339403125,1.5494501605033875,0.343875,0.0034788266284920774,0.3370564998081555,0.3506935001918445,7.3144811946868895,0.0,0.0,0.0,0.0,0.0
9,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.566464976978302,0.33968125,1.5277563161849976,0.345734375,0.0036661345330964152,0.338548751315131,0.35291999868486895,7.093623217761516,0.0,0.0,0.0,0.0,0.0
10,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5611637823104858,0.3377875,1.5489916710853577,0.342578125,0.003555643056310508,0.3356090646096314,0.3495471853903686,6.952277726709843,0.0,0.0,0.0,0.0,0.0
11,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5517490513801575,0.336890625,1.5866148777008056,0.333421875,0.0036996149895161404,0.3261706296205483,0.34067312037945163,6.9082394511222835,0.0,0.0,0.0,0.0,0.0
12,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5506366955280304,0.338528125,1.560280954360962,0.33065625,0.0036894445143721925,0.3234249387518305,0.3378875612481695,6.751236584043503,0.0,0.0,0.0,0.0,0.0
13,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.545059334230423,0.33485,1.563308976650238,0.329375,0.0036266071285200323,0.32226685002810074,0.3364831499718992,6.600862633991241,0.0,0.0,0.0,0.0,0.0
14,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5417546487808227,0.336453125,1.606772005558014,0.32846875,0.003740822663709068,0.3211367375791302,0.33580076242086976,6.520718844604493,0.0,0.0,0.0,0.0,0.0
15,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.536184291601181,0.337771875,1.534874439239502,0.33678125,0.0036567149465153532,0.3296140887048299,0.34394841129517006,6.463943156480789,0.0,0.0,0.0,0.0,0.0
16,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.539311998939514,0.335715625,1.543333191871643,0.3303125,0.0036662432830528668,0.3231266631652164,0.33749833683478364,6.4461361544013025,0.0,0.0,0.0,0.0,0.0
17,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5411751889705658,0.331609375,1.5268645706176758,0.338625,0.0036306934210090886,0.3315088408948222,0.34574115910517783,6.238069030714035,0.0,0.0,0.0,0.0,0.0
18,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5418825813293457,0.331409375,1.5206422920227052,0.34134375,0.0036039509559600323,0.33428000612631836,0.34840749387368164,6.340338016200065,0.0,0.0,0.0,0.0,0.0
19,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.532787061405182,0.33176875,1.5264160254001617,0.33978125,0.003696285973171784,0.3325365294925833,0.3470259705074167,6.292817699766159,0.0,0.0,0.0,0.0,0.0
20,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5276640353918076,0.3362375,1.5175825600624084,0.3323125,0.003669702410245943,0.32511988327591795,0.33950511672408207,6.230973937189579,0.0,0.0,0.0,0.0,0.0
21,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5316648477554322,0.3316,1.5202071132659911,0.332328125,0.003632832591475422,0.32520777312070814,0.3394484768792918,6.171820548963547,0.0,0.0,0.0,0.0,0.0
22,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.527013586950302,0.33296875,1.5262462129592895,0.3310625,0.0037409065688150116,0.32373032312512257,0.3383946768748774,6.1780664859056476,0.0,0.0,0.0,0.0,0.0
23,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5292116372585296,0.330971875,1.5389555735588074,0.328,0.0035393167958930783,0.32106293908004957,0.33493706091995046,6.2164492065548895,0.0,0.0,0.0,0.0,0.0
24,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.5266339879512787,0.331340625,1.5249204473495483,0.33403125,0.003678161677167065,0.32682205311275253,0.3412404468872475,6.2299257788062095,0.0,0.0,0.0,0.0,0.0
25,0,1,1,1,0.85,0.3,5,0,100,50,1.0,1.527010046195984,0.332334375,1.503107029914856,0.33796875,0.0036444370926907266,0.33082565329832614,0.34511184670167383,6.153131566941738,0.0,0.0,0.0,0.0,0.0
